"SerialNo","ReadingDate","Import Wh Total","Reactive Power Phase B (vars)","Active Power Phase C (Watts)","Voltage Phase A","Voltage PhaseA Maximum","Voltage PhaseB Minimum","Active Power Phase A (Watts)","Voltage PhaseA Minimum","Voltage Phase B","Voltage PhaseC Maximum","Reactive Power Phase C (vars)","Active Power Phase B (Watts)","Voltage PhaseC Minimum","Reactive Power Phase A (vars)","Voltage PhaseB Maximum","Export Wh Total"
 212524150 ,"12/03/2013 02:00:00", 0.08 , 0.245 , 0 , 244.153 , 243.349 , 0.998 , 0 , 243.762 , 1.028 , 24.181 , 0.119 , 0 , 49.984 , 0.03 , 0.967 , 0 
 212524150 ,"12/03/2013 02:10:00",, 0.204 , 0 , 244.483 , 241.958 , 0.998 , 0 , 244.06 , 1.058 , 24.434 , 0.119 , 0 , 50.035 , 0.03 , 0.907 ,
 212524150 ,"12/03/2013 02:20:00",, 0.245 , 0 , 244.802 , 243.895 , 0.998 , 0 , 244.328 , 1.028 , 24.247 , 0.119 , 0 , 50.023 , 0.03 , 0.967 ,
 212524150 ,"12/03/2013 02:30:00", 0.06 , 0.204 , 0 , 245.019 , 0 , 0.998 , 0 , 243.628 , 1.24 , 25.774 , 0.119 , 0 , 50.016 , 0.03 , 0 , 0 
 212524150 ,"12/03/2013 02:40:00",, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,
 212524150 ,"12/03/2013 02:50:00",, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,
 212524150 ,"12/03/2013 03:00:00", 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 212524150 ,"12/03/2013 03:10:00",,-0.082 , 0 , 242.989 , 242.36 , 0.453 , 0 , 242.679 , 0.453 , 8.613 , 0.085 , 0 , 49.996 , 0 , 0.453 ,
 212524150 ,"12/03/2013 03:20:00",,-0.123 , 0 , 243.566 , 241.195 , 0.423 , 0 , 243.009 , 0.453 , 25.84 , 0.085 , 0 , 49.973 , 0 , 0.423 ,
 212524150 ,"12/03/2013 03:30:00", 0 ,-0.123 , 0 , 243.875 , 242.514 , 0.423 , 0 , 243.339 , 0.453 , 25.499 , 0.085 , 0 , 49.996 , 0 , 0.423 , 0 
 212524150 ,"12/03/2013 03:40:00",,-0.123 , 0 , 244.029 , 242.566 , 0.423 , 0 , 243.586 , 0.453 , 23.5 , 0.085 , 0 , 49.973 , 0 , 0.423 ,
 212524150 ,"12/03/2013 03:50:00",,-0.123 , 0 , 244.236 , 239.835 , 0.423 , 0 , 243.421 , 0.453 , 22.83 , 0.085 , 0 , 50.035 , 0 , 0.423 ,
 212524150 ,"12/03/2013 04:00:00", 0 ,-0.082 , 0 , 240.268 , 238.608 , 0.423 , 0 , 239.793 , 0.453 , 22.214 , 0.085 , 0 , 49.988 , 0 , 0.423 , 0 
 212524150 ,"12/03/2013 04:10:00",,-0.082 , 0 , 242.762 , 238.165 , 0.423 , 0 , 241.257 , 0.453 , 22.094 , 0.085 , 0 , 49.988 , 0 , 0.423 ,
 212524150 ,"12/03/2013 04:20:00",,-0.082 , 0 , 242.226 , 240.999 , 0.423 , 0 , 241.896 , 0.453 , 20.094 , 0.085 , 0 , 49.969 , 0 , 0.423 ,
 212524150 ,"12/03/2013 04:30:00", 0 ,-0.082 , 0 , 242.803 , 241.927 , 0.423 , 0 , 242.246 , 0.453 , 20.413 , 0.085 , 0 , 50.008 , 0 , 0.423 , 0 
 212524150 ,"12/03/2013 04:40:00",,-0.123 , 0 , 242.803 , 240.597 , 0.423 , 0 , 242.36 , 0.453 , 21.731 , 0.085 , 0 , 50.027 , 0 , 0.423 ,
 212524150 ,"12/03/2013 04:50:00",,-0.123 , 0 , 242.566 , 240.865 , 0.423 , 0 , 241.999 , 0.453 , 20.16 , 0.085 , 0 , 50.074 , 0 , 0.423 ,
 212524150 ,"12/03/2013 05:00:00", 0 ,-0.082 , 0 , 242.267 , 240.958 , 0.423 , 0 , 241.7 , 0.453 , 20.786 , 0.085 , 0 , 49.957 , 0 , 0.423 , 0 
 212524150 ,"12/03/2013 05:10:00",,-0.082 , 0 , 241.772 , 239.216 , 0.423 , 0 , 240.618 , 0.453 , 21.346 , 0.085 , 0 , 49.934 , 0 , 0.423 ,
 212524150 ,"12/03/2013 05:20:00",,-0.082 , 0 , 241.525 , 240.041 , 0.423 , 0 , 241.03 , 0.453 , 23.796 , 0.085 , 0 , 49.977 , 0 , 0.423 ,
 212524150 ,"12/03/2013 05:30:00", 0 ,-0.123 , 0.01 , 244.596 , 239.917 , 0.423 , 0 , 241.7 , 0.453 , 23.082 , 0.085 , 0 , 50.012 , 0 , 0.423 , 0.01 
 212524150 ,"12/03/2013 05:40:00",,-0.123 , 0 , 243.143 , 241.154 , 0.423 , 0 , 242.277 , 0.453 , 24.302 , 0.085 , 0 , 50 , 0 , 0.423 ,
 212524150 ,"12/03/2013 05:50:00",,-0.082 , 0 , 242.051 , 240.35 , 0.423 , 0 , 241.556 , 0.453 , 24.478 , 0.085 , 0 , 49.965 , 0 , 0.423 ,
 212524150 ,"12/03/2013 06:00:00", 0 ,-0.082 , 0 , 241.875 , 240.484 , 0.423 , 0 , 241.288 , 0.453 , 24.005 , 0.085 , 0 , 49.898 , 0 , 0.423 , 0 
 212524150 ,"12/03/2013 06:10:00",,-0.082 , 0 , 242.36 , 240.061 , 0.423 , 0 , 241.401 , 0.453 , 21.808 , 0.085 , 0 , 49.992 , 0 , 0.423 ,
 212524150 ,"12/03/2013 06:20:00",,-0.082 , 0 , 242.422 , 240.175 , 0.423 , 0 , 241.597 , 0.453 , 21.698 , 0.085 , 0 , 49.926 , 0 , 0.423 ,
 212524150 ,"12/03/2013 06:30:00", 0 ,-0.082 , 0 , 241.783 , 240.783 , 0.423 , 0 , 241.288 , 0.453 , 23.06 , 0.085 , 0 , 49.969 , 0 , 0.423 , 0 
 212524150 ,"12/03/2013 06:40:00",,-0.082 , 0 , 241.339 , 238.155 , 0.423 , 0 , 240.536 , 0.453 , 22.643 , 0.085 , 0 , 50.063 , 0 , 0.423 ,
 212524150 ,"12/03/2013 06:50:00",,-0.082 , 0 , 243.875 , 239.124 , 0.423 , 0 , 242.082 , 0.453 , 21.522 , 0.085 , 0 , 49.934 , 0 , 0.423 ,
 212524150 ,"12/03/2013 07:00:00", 0 ,-0.123 , 0 , 245.411 , 241.412 , 0.423 , 0 , 242.855 , 0.484 , 22.786 , 0.085 , 0 , 50.012 , 0 , 0.423 , 0 
 212524150 ,"12/03/2013 07:10:00",,-0.082 , 0 , 242.35 , 240.113 , 0.423 , 0 , 241.35 , 0.453 , 21.346 , 0.085 , 0 , 50 , 0 , 0.423 ,
 212524150 ,"12/03/2013 07:20:00",,-0.082 , 0 , 241.216 , 238.722 , 0.423 , 0 , 240.463 , 0.453 , 22.665 , 0.085 , 0 , 49.996 , 0 , 0.423 ,
 212524150 ,"12/03/2013 07:30:00", 0 ,-0.082 , 0 , 242.432 , 238.66 , 0.423 , 0 , 240.793 , 0.453 , 21.808 , 0.085 , 0 , 49.977 , 0 , 0.423 , 0 
 212524150 ,"12/03/2013 07:40:00",,-0.082 , 0 , 242.69 , 240.474 , 0.423 , 0 , 241.587 , 0.453 , 21.654 , 0.085 , 0 , 49.996 , 0 , 0.423 ,
 212524150 ,"12/03/2013 07:50:00",,-0.082 , 0 , 243.524 , 241.803 , 0.423 , 0 , 242.813 , 0.453 , 23.401 , 0.085 , 0 , 50.004 , 0 , 0.423 ,
 212524150 ,"12/03/2013 08:00:00", 0 ,-0.082 , 0.01 , 243.112 , 241.113 , 0.423 , 0 , 242.143 , 0.453 , 22.039 , 0.085 , 0 , 49.949 , 0 , 0.423 , 0.01 
 212524150 ,"12/03/2013 08:10:00",,-0.082 , 0 , 242.875 , 240.484 , 0.423 , 0 , 242.02 , 0.453 , 23.522 , 0.085 , 0 , 50.004 , 0 , 0.423 ,
 212524150 ,"12/03/2013 08:20:00",,-0.082 , 0 , 242.154 , 240.577 , 0.423 , 0 , 241.401 , 0.544 , 23.522 , 0.085 , 0 , 50.016 , 0 , 0.423 ,
 212524150 ,"12/03/2013 08:30:00", 0 ,-0.082 , 0 , 242.648 , 239.948 , 0.423 , 0 , 241.865 , 0.453 , 22.687 , 0.085 , 0 , 50.035 , 0 , 0.423 , 0 
 212524150 ,"12/03/2013 08:40:00",,-0.123 , 0 , 245.761 , 240.845 , 0.423 , 0 , 242.803 , 0.453 , 22.412 , 0.085 , 0 , 50 , 0 , 0.423 ,
 212524150 ,"12/03/2013 08:50:00",,-0.082 , 0 , 243.256 , 241.721 , 0.423 , 0 , 242.597 , 0.453 , 22.95 , 0.085 , 0 , 49.992 , 0 , 0.423 ,
 212524150 ,"12/03/2013 09:00:00", 0 ,-0.123 , 0 , 242.463 , 240.298 , 0.423 , 0 , 241.463 , 0.453 , 24.829 , 0.085 , 0 , 49.996 , 0 , 0.423 , 0 
 212524150 ,"12/03/2013 09:10:00",,-0.082 , 0 , 242.298 , 239.979 , 0.423 , 0 , 241.226 , 0.453 , 24.335 , 0.085 , 0 , 49.93 , 0 , 0.423 ,
 212524150 ,"12/03/2013 09:20:00",,-0.123 , 0 , 242.453 , 239.948 , 0.423 , 0 , 241.339 , 0.453 , 22.434 , 0.085 , 0 , 49.922 , 0 , 0.423 ,
 212524150 ,"12/03/2013 09:30:00", 0.19 , 1.144 , 0 , 243.494 , 239.175 , 4.777 , 0.18 , 241.741 , 17.807 , 23.511 , 0.109 , 0 , 50.023 , 0.01 , 0.423 , 0 
 212524150 ,"12/03/2013 09:40:00",, 0.449 , 0 , 242.958 , 241.587 , 1.754 , 0.01 , 242.246 , 4.988 , 22.808 , 0.132 , 0 , 50.012 , 0.06 , 0.937 ,
 212524150 ,"12/03/2013 09:50:00",, 0.245 , 0 , 242.401 , 241.339 , 0.998 , 0 , 241.855 , 1.028 , 22.291 , 0.118 , 0 , 50.02 , 0.03 , 0.937 ,
 212524150 ,"12/03/2013 10:00:00", 0.15 , 0.245 , 0 , 242.648 , 241.391 , 0.967 , 0 , 241.968 , 1.058 , 21.643 , 0.118 , 0 , 50.047 , 0.04 , 0.937 , 0 
 212524150 ,"12/03/2013 10:10:00",, 0.245 , 0 , 242.123 , 240.463 , 0.967 , 0 , 241.36 , 1.058 , 19.984 , 0.119 , 0 , 50.039 , 0.04 , 0.937 ,
 212524150 ,"12/03/2013 10:20:00",, 0.245 , 0 , 242.061 , 240.484 , 0.967 , 0 , 241.329 , 1.028 , 21.687 , 0.119 , 0 , 49.973 , 0.04 , 0.907 ,
 212524150 ,"12/03/2013 10:30:00", 0.11 , 0.245 , 0 , 241.896 , 240.463 , 0.937 , 0 , 241.113 , 1.028 , 21.357 , 0.118 , 0 , 49.941 , 0.04 , 0.907 , 0 
 212524150 ,"12/03/2013 10:40:00",, 0.245 , 0 , 241.875 , 240.443 , 0.967 , 0 , 241.185 , 1.028 , 21.478 , 0.117 , 0 , 49.938 , 0.04 , 0.907 ,
 212524150 ,"12/03/2013 10:50:00",, 0.245 , 0 , 241.525 , 240.113 , 0.937 , 0 , 240.907 , 1.028 , 20.984 , 0.116 , 0 , 49.938 , 0.04 , 0.907 ,
 212524150 ,"12/03/2013 11:00:00", 0.12 , 0.245 , 0 , 241.309 , 240.072 , 0.937 , 0 , 240.711 , 0.998 , 21.061 , 0.116 , 0 , 50.055 , 0.04 , 0.907 , 0 
 212524150 ,"12/03/2013 11:10:00",, 0.245 , 0 , 242.267 , 239.608 , 0.937 , 0 , 241.175 , 1.058 , 21.412 , 0.116 , 0 , 49.961 , 0.04 , 0.877 ,
 212524150 ,"12/03/2013 11:20:00",, 0.245 , 0 , 242.7 , 241.278 , 0.967 , 0 , 242.03 , 1.028 , 21.764 , 0.117 , 0 , 50.004 , 0.04 , 0.937 ,
 212524150 ,"12/03/2013 11:30:00", 0.12 , 0.245 , 0 , 242.782 , 241.473 , 0.937 , 0 , 242.195 , 1.028 , 21.017 , 0.116 , 0 , 49.988 , 0.04 , 0.907 , 0 
 212524150 ,"12/03/2013 11:40:00",, 0.245 , 0 , 243.112 , 241.68 , 0.937 , 0 , 242.411 , 0.998 , 21.346 , 0.116 , 0 , 49.941 , 0.04 , 0.877 ,
 212524150 ,"12/03/2013 11:50:00",, 0.245 , 0 , 243.463 , 242.143 , 0.937 , 0 , 242.813 , 0.998 , 20.94 , 0.116 , 0 , 50.016 , 0.04 , 0.907 ,
 212524150 ,"12/03/2013 12:00:00", 0.13 , 0.286 , 0 , 243.04 , 241.875 , 0.937 , 0 , 242.483 , 0.998 , 20.786 , 0.117 , 0 , 49.945 , 0.04 , 0.877 , 0 
 212524150 ,"12/03/2013 12:10:00",, 0.245 , 0 , 243.256 , 0 , 0.937 , 0 , 241.35 , 0.998 , 19.578 , 0.116 , 0 , 49.941 , 0.04 , 0 ,
 212524150 ,"12/03/2013 12:20:00",, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,
 212524150 ,"12/03/2013 12:30:00", 0.41 , 3.308 , 0 , 243.669 , 239.68 , 12.214 , 0.37 , 240.422 , 13.151 , 17.798 , 0.169 , 0 , 49.961 , 0 , 0.726 , 0 
 212524150 ,"12/03/2013 12:40:00",, 3.594 , 0 , 240.804 , 239.649 , 13.061 , 0.56 , 240.226 , 13.242 , 21.764 , 0.171 , 0 , 49.953 , 0 , 12.94 ,
 212524150 ,"12/03/2013 12:50:00",, 3.594 , 0 , 241.339 , 239.783 , 13.242 , 0.56 , 240.68 , 13.544 , 22.588 , 0.179 , 0 , 49.984 , 0 , 13.061 ,
 212524150 ,"12/03/2013 13:00:00", 1.68 , 3.594 , 0 , 241.309 , 240.206 , 13.363 , 0.56 , 240.731 , 13.635 , 22.28 , 0.1 , 0 , 49.934 , 0 , 13.212 , 0 
 212524150 ,"12/03/2013 13:10:00",, 3.594 , 0 , 241.226 , 239.979 , 13.423 , 0.57 , 240.742 , 13.635 , 22.346 , 0.102 , 0 , 49.988 , 0 , 13.272 ,
 212524150 ,"12/03/2013 13:20:00",, 3.635 , 0 , 241.494 , 240.195 , 13.454 , 0.56 , 240.824 , 13.635 , 22.137 , 0.174 , 0 , 49.941 , 0 , 13.302 ,
 212524150 ,"12/03/2013 13:30:00", 1.7 , 3.676 , 0 , 242.308 , 239.845 , 13.484 , 0.58 , 241.216 , 13.665 , 22.039 , 0.179 , 0 , 50.027 , 0 , 13.333 , 0 
 212524150 ,"12/03/2013 13:40:00",, 3.676 , 0 , 240.577 , 239.113 , 13.605 , 0.57 , 239.917 , 13.786 , 22.544 , 0.179 , 0 , 49.938 , 0 , 13.454 ,
 212524150 ,"12/03/2013 13:50:00",, 3.717 , 0 , 240.391 , 238.938 , 13.544 , 0.58 , 239.701 , 13.756 , 22.006 , 0.174 , 0 , 49.934 , 0 , 13.423 ,
 212524150 ,"12/03/2013 14:00:00", 1.73 , 3.676 , 0 , 241.01 , 239.412 , 13.605 , 0.58 , 240.463 , 13.816 , 22.434 , 0.179 , 0 , 49.98 , 0 , 13.423 , 0 
 212524150 ,"12/03/2013 14:10:00",, 3.635 , 0 , 241.37 , 239.649 , 13.726 , 0.56 , 240.639 , 13.968 , 23.5 , 0.179 , 0 , 49.957 , 0 , 13.514 ,
 212524150 ,"12/03/2013 14:20:00",, 3.676 , 0 , 241.906 , 240.154 , 13.726 , 0.58 , 241.041 , 13.998 , 22.17 , 0.179 , 0 , 49.984 , 0 , 13.574 ,
 212524150 ,"12/03/2013 14:30:00", 1.71 , 3.635 , 0 , 242.205 , 241.041 , 13.816 , 0.57 , 241.556 , 13.998 , 21.863 , 0.175 , 0 , 50.023 , 0 , 13.635 , 0 
 212524150 ,"12/03/2013 14:40:00",, 3.635 , 0 , 242.391 , 240.989 , 13.877 , 0.56 , 241.772 , 14.088 , 21.929 , 0.179 , 0 , 50.016 , 0 , 13.635 ,
 212524150 ,"12/03/2013 14:50:00",, 3.676 , 0 , 243.112 , 239.989 , 13.877 , 0.57 , 241.587 , 14.058 , 22.533 , 0.155 , 0 , 50.023 , 0 , 13.726 ,
 212524150 ,"12/03/2013 15:00:00", 1.71 , 3.635 , 0 , 241.195 , 239.639 , 13.998 , 0.57 , 240.463 , 14.27 , 22.115 , 0.146 , 0 , 49.973 , 0 , 13.847 , 0 
 212524150 ,"12/03/2013 15:10:00",, 3.676 , 0 , 241.628 , 240.474 , 13.937 , 0.57 , 241.123 , 14.179 , 22.588 , 0.111 , 0 , 49.984 , 0 , 13.786 ,
 212524150 ,"12/03/2013 15:20:00",, 3.635 , 0 , 241.875 , 239.618 , 14.028 , 0.57 , 241.092 , 14.481 , 22.654 , 0.176 , 0 , 49.969 , 0 , 13.514 ,
 212524150 ,"12/03/2013 15:30:00", 1.71 , 3.676 , 0 , 241.288 , 239.989 , 14.149 , 0.58 , 240.639 , 14.3 , 23.137 , 0.179 , 0 , 49.926 , 0 , 13.998 , 0 
 212524150 ,"12/03/2013 15:40:00",, 3.676 , 0 , 241.278 , 239.845 , 14.451 , 0.57 , 240.577 , 14.935 , 23.225 , 0.179 , 0 , 49.902 , 0 , 14.088 ,
 212524150 ,"12/03/2013 15:50:00",, 2.981 , 0 , 242.762 , 239.525 , 11.67 , 0.42 , 240.845 , 15.509 , 23.687 , 0.178 , 0 , 49.895 , 0.04 , 4.928 ,
 212524150 ,"12/03/2013 16:00:00", 1.22 , 1.307 , 0 , 242.885 , 241.71 , 4.958 , 0.06 , 242.298 , 5.109 , 23.588 , 0.176 , 0 , 49.934 , 0.13 , 4.898 , 0 
 212524150 ,"12/03/2013 16:10:00",, 1.062 , 0 , 243.71 , 241.329 , 3.9 , 0.11 , 242.339 , 5.23 , 23.687 , 0.159 , 0 , 50.012 , 0.03 , 0.907 ,
